"32A","17-18","6","Distribution of canvas bags","200000","Bags","No Issue","",""
"32A","17-18","7","Distribution of canvas bags","200000","Bags","No Issue","",""
"32A","17-18","8","Distribution of canvas bags","200000","Bags","No Issue","",""
"32A","17-18","9","Gattu basavne","139858.88","Pavement blocks","No Issue","",""
"32B","17-18","1","Distribution of buckets","199749.6","Dustbin/Buckets","No Issue","",""
"32B","17-18","2","Repairing of toilets","129023.49","Toilet","No Issue","",""
"32B","17-18","3","Repairing of clinics","139815.85","Buildings","No Issue","",""
"32B","17-18","4","Water proofing related work","104812.46","Buildings","No Issue","",""
"32B","17-18","5","Installation of benches","157904.47","Benches","Resolved","Entry in the received info is not clear. Need double check.","Looks okay- Tanmay"
"32B","17-18","6","Installation of boards","125329.64","Nameplates","Resolved","Entry in the received info is not clear. Need double check.","Looks okay- Tanmay"
"32B","17-18","7","Electricity related work","159510.5","Electrification","No Issue","",""
"32B","17-18","8","Temple repairing work","157701.19","Buildings","No Issue","",""
"32B","17-18","9","Distribution of toys in school","164398","Education","Resolved","Code -???","Changed to education- Tanmay"
"32C","17-18","1","Distribution of buckets","199987","Dustbin/Buckets","No Issue","",""
"32C","17-18","2","Repairing of toilets","135883.31","Toilet","No Issue","",""
"32C","17-18","3","Picking up radar waste","137687","Cleaning","No Issue","",""
"32C","17-18","4","Installing music system in garden","143155.88","Garden","No Issue","",""
"32C","17-18","5","CCTV camera installation for garden","141573.35","CCTV","No Issue","",""
"32C","17-18","6","Installation of benches","152127.47","Benches","Resolved","Entry in the received info is not clear. Need double check.","Looks okay- Tanmay"
"32C","17-18","7","Setting up clinic","144020","Buildings","No Issue","",""
"32D","17-18","1","Picking up radar waste","138286.51","Cleaning","No Issue","",""
"32D","17-18","2","Distribution of buckets","199987.2","Dustbin/Buckets","No Issue","",""
"32D","17-18","3","Distribution of buckets","199836","Dustbin/Buckets","No Issue","",""
"32D","17-18","4","Distribution of canvas bags","200000","Bags","No Issue","",""
"32D","17-18","5","Road concretization","110062.31","Concretization","No Issue","",""
"32D","17-18","6","Installation of benches","152519.02","Benches","No Issue","",""
"32D","17-18","7","Direction boards installation","138385.82","Nameplates","No Issue","",""
"32D","17-18","8","Road concretization","87900.12","Concretization","No Issue","",""
"32D","17-18","9","Distribution of buckets","199836","Dustbin/Buckets","No Issue","",""
"32D","17-18","10","Distribution of buckets","199987.2","Dustbin/Buckets","No Issue","",""
"13A","18-19","1","Development work in school","199235.3","Buildings","No Issue","",""
"13A","18-19","2","Toilet repair in school ","196748.03","Toilet","No Issue","",""
"13A","18-19","3","Development work in school","149441.38","Colouring","No Issue","",""
"13A","18-19","4","Distribution of bags","200000","Bags","No Issue","",""
"13A","18-19","5","Distribution of bags","200000","Bags","No Issue","",""
"13A","18-19","6","Development work in police station","190664.57","Buildings","No Issue","",""
"13A","18-19","7","Distribution of bags","200000","Bags","No Issue","",""
"13A","18-19","8","Distribution of machinery","200000","Cleaning","Resolved","Code- ??","Not clear. Keep it in Development work- Tanmay"
"13B","18-19","1","Borewell related work","100000","Bore wells","No Issue","",""
"13B","18-19","2","Rainwater harvesting related work","100000","Rain Water Harvesting","No Issue","",""
"13B","18-19","3","Distribution of plastic sacks for waste","200000","Waste disposal","No Issue","",""
"13B","18-19","4","Supplying waste bags","200000","Waste disposal","No Issue","",""
"13B","18-19","5","Installation of benches","200000","Benches","No Issue","",""
"13B","18-19","6","Distribution of bags","200000","Bags","No Issue","",""
"13B","18-19","7","Removal of unused and damaged poles","168006.64","Maintenance","No Issue","",""
"13B","18-19","8","CCTV camera installation","198507.38","CCTV","No Issue","",""
"13B","18-19","9","Electricity related work","171931.2","Electrification","No Issue","",""
"13C","18-19","1","Distribution of bags","200000","Bags","No Issue","",""
"13C","18-19","2","Development work in school","159754.99","Buildings","No Issue","",""
"13C","18-19","3","Chambers related work","169354.33","Drainage","No Issue","",""
"13C","18-19","4","Health centers repairing","164790.25","Buildings","No Issue","",""
"13C","18-19","5","Distribution of bags","200000","Bags","No Issue","",""
"13C","18-19","6","Picking up radar waste","88561.23","Cleaning","No Issue","",""
"13C","18-19","7","Direction plates installation","159107.69","Nameplates","No Issue","",""
"13C","18-19","8","Replacement of fences","151668.81","Fencing","No Issue","",""
"13C","18-19","9","Fencing related work","146339.98","Fencing","No Issue","",""
"13D","18-19","1","Direction plates installation","194377.01","Nameplates","No Issue","",""
"13D","18-19","2","Fencing related work","185339.94","Fencing","No Issue","",""
"13D","18-19","3","Steel bollards installation","199225.49","Steel Bollards","No Issue","",""
"13D","18-19","4","Development work in municipality office","192806.73","Buildings","No Issue","",""
"13D","18-19","5","Water proofing related work","194958.59","Buildings","No Issue","",""
