"25C","18-19","5","basket ball ground development work ","97528.87","Garden","","",""
"25C","18-19","6","footpath development","168782.08","Footpath","","",""
"25C","18-19","7","development work ","177444.71","Development work","","",""
"25C","18-19","8","jute bags ","200000","Bags","","",""
"25C","18-19","9","jute bags","200000","Bags","","",""
"25C","18-19","10","jute bags ","200000","Bags","","",""
"25D","18-19","1","sign boards","169137.37","Nameplates","","",""
"25D","18-19","2","drainage related","199342.44","Drainage","","",""
"25D","18-19","3","drainage related","199342.44","Drainage","","",""
"25D","18-19","4","ground development","198277.02","Garden","","",""
"25D","18-19","5","ground cleaning ","197215.81","Cleaning","","",""
"25D","18-19","6","basket ball ground development work ","198451.51","Garden","","",""
"25D","18-19","7","development work ","97528.87","Development work","","",""
"25D","18-19","8","dambarikaran","179055.12","Road","","",""
"25D","18-19","9","jute bags","200000","Bags","","",""
"25D","18-19","10","jute bags ","200000","Bags","","",""
"27A","18-19","1","water pineline ","196666.17","Water supply","","",""
"27A","18-19","2","fog machine purchase","200000","Cleaning","Resolved","","Cleaning- Tanmay"
"27A","18-19","3","water pineline ","18328.5","Water supply","","",""
"27A","18-19","4","kapadi bags ","200000","Bags","","",""
"27A","18-19","5","kapadi bags ","200000","Bags","","",""
"27A","18-19","6","sign boards","191936.68","Nameplates","","",""
"27A","18-19","7","sign boards","195996.2","Nameplates","","",""
"27A","18-19","8","decorative poles","193129.69","Decoration","","",""
"27A","18-19","9","decorative poles","193129.69","Decoration","","",""
"27A","18-19","10","radaroda ","197344.22","Cleaning","","",""
"27A","18-19","11","library building","91531.29","Library","","",""
"27B","18-19","1","road development","188371.98","Road","","",""
"27B","18-19","2","kapadi bags ","200000","Bags","","",""
"27B","18-19","3","kapadi bags ","200000","Bags","","",""
"27B","18-19","4","sign boards","195025.46","Nameplates","","",""
"27B","18-19","5","radaroda ","187495.95","Cleaning","","",""
"27B","18-19","6","sign boards","195465.7","Nameplates","","",""
"27B","18-19","7","road development","139464.01","Road","","",""
"27B","18-19","8","drainage cleaning","128376.52","Drainage","","",""
"27C","18-19","1","concritization ","189038.25","Concretization","","",""
"27C","18-19","2","radaroda ","189070.9","Cleaning","","",""
"27C","18-19","3","radaroda ","176457.75","Cleaning","","",""
"27C","18-19","4","electric related ","151631.56","Electrification","","",""
"27C","18-19","5","drainage cleaning","192583.58","Drainage","","",""
"27C","18-19","6","concritization ","197364.16","Concretization","","",""
"27C","18-19","7","cleaning","98682.08","Cleaning","","",""
"27C","18-19","8","benches ","180858.64","Benches","","",""
"27C","18-19","9","drainage cleaning","195085.01","Drainage","","",""
"27C","18-19","10","thermoplastic paint ","194295.4","Road","","",""
"27D","18-19","1","school repair work ","198594.26","Buildings","","",""
"27D","18-19","2","gym repair work ","199310.71","Gym","","",""
"27D","18-19","3","community hall repair work ","94990.5","Buildings","","",""
"27D","18-19","4","cleaning ","98682.08","Cleaning","","",""
"27D","18-19","5","school repair work ","96544.41","Buildings","","",""
"27D","18-19","6","jute bags ","200000","Bags","","",""
"27D","18-19","7","jute bags ","200000","Bags","","",""
"24A","19-20","1","jute bags","200000","Bags","","",""
"24A","19-20","2","jute bags","200000","Bags","","",""
"24A","19-20","3","sign boards","199162.7","Nameplates","","",""
"24A","19-20","4","sign boards","199162.7","Nameplates","","",""
"24C","19-20","1","new drainage line  ","199453.79","Drainage","","",""
"24C","19-20","2","new drainage line  ","98243.26","Drainage","","",""
"24C","19-20","3","new drainage line  ","198303.13","Drainage","","",""
"24C","19-20","4","new drainage line  ","198359.75","Drainage","","",""
"24C","19-20","5","cctv installation ","198654.18","CCTV","","",""
"24C","19-20","6","kapadi bags ","200000","Bags","","",""
"24C","19-20","7","jute bags ","200000","Bags","","",""
"24C","19-20","8","wall painting","199588","Decoration","","",""
"25A","19-20","1","repair work","198002.47","Maintenance","","",""
"25A","19-20","2","sign boards","199414.63","Nameplates","","",""
"25A","19-20","3","sign boards","199414.63","Nameplates","","",""
"25A","19-20","4","jute bags ","200000","Bags","","",""
"25A","19-20","5","jute bags ","200000","Bags","","",""
"25A","19-20","6","jute bags","200000","Bags","","",""
"25B","19-20","1","jute bags ","200000","Bags","","",""
