"6C","17-18","1","Wiring and underground cables","158204.8","Electrification","","",""
"6C","17-18","2","Wiring and underground cables","150064.72","Electrification","","",""
"6C","17-18","3","Drainage works","133609.24","Drainage","","",""
"6C","17-18","4","Concretization work","131977.56","Concretization","","",""
"6C","17-18","5","Toilet repairs","172830.55","Toilet","","",""
"6C","17-18","6","Samaj Mandir repairs","149268.64","Buildings","","",""
"6C","17-18","7","Samaj Mandir repairs","149597.76","Buildings","","",""
"6C","17-18","8","Samaj Mandir repairs","156221.25","Buildings","","",""
"6C","17-18","9","Building shed","149744.54","Buildings","","",""
"6C","17-18","10","Drainage works","133326.94","Drainage","","",""
"6D","17-18","1","Work in crematorium","199438.62","Cemetory / Crematorium","","",""
"6D","17-18","2","Toilet repairs","199684.2","Toilet","","",""
"6D","17-18","3","Electrical works","200000","Electrification","","",""
"6D","17-18","4","Decoration works","200000","Decoration","","",""
"6D","17-18","5","Work in crematorium","145728.77","Cemetory / Crematorium","","",""
"6D","17-18","6","Toilet repairs","197574.27","Toilet","","",""
"6D","17-18","7","Furniture works","193697.52","Furniture","","",""
"6D","17-18","8","Nameplates","157654.74","Nameplates","","",""
"1A","18-19","1","Footpath repairs","197954.3","Footpath","","",""
"1A","18-19","2","Colouring slogans","148345.95","Decoration","","",""
"1A","18-19","3","Colouring slogans","148351.04","Decoration","","",""
"1A","18-19","4","Theramaplastic paint","200000","Traffic","","",""
"1A","18-19","5","Bags","200000","Bags","","",""
"1A","18-19","6","Bags","200000","Bags","","",""
"1A","18-19","7","Computers in school","172113.7","Computers","","",""
"1A","18-19","8","Benches","200000","Benches","","",""
"1A","18-19","8","Benches","200000","Benches","","",""
"1B","18-19","1","Gym equipments","148395.83","Gym","","",""
"1B","18-19","2","Gym equipments","149669.76","Gym","","",""
"1B","18-19","3","Rada Roda cleaning work","151496.58","Cleaning","","",""
"1B","18-19","4","Rada Roda cleaning work","75048.29","Cleaning","","",""
"1B","18-19","5","Colouring slogans","148482.58","Decoration","","",""
"1B","18-19","6","Drainage works","200000","Drainage","","",""
"1B","18-19","7","Drainage works","200000","Drainage","","",""
"1C","18-19","1","Drainage works","158549.4","Drainage","","",""
"1C","18-19","2","Colouring work","157831.62","Colouring","","",""
"1C","18-19","3","Toilet repairs","81093.38","Toilet","","",""
"1C","18-19","4","Jute bags ","200000","Bags","","",""
"1C","18-19","5","Jute bags ","200000","Bags","","",""
"1C","18-19","6","Electrical works","200000","Electrification","","",""
"1C","18-19","7","Electrical works","200000","Electrification","","",""
"1C","18-19","8","Electrical works","200000","Electrification","","",""
"1C","18-19","9","Electrical works","200000","Electrification","","",""
"1C","18-19","10","Electrical works","200000","Electrification","","",""
"1D","18-19","1","Jute bags ","200000","Bags","","",""
"1D","18-19","2","Jute bags ","200000","Bags","","",""
"1D","18-19","3","Jute bags ","200000","Bags","","",""
"1D","18-19","4","Rada Roda cleaning work","156470.08","Cleaning","","",""
"1D","18-19","5","Rada Roda cleaning work","156470.08","Cleaning","","",""
"1D","18-19","6","Grass cutting machine","189521.2","Garden","","",""
"1D","18-19","7","Electrical works","88029.14","Electrification","","",""
"1D","18-19","8","Gym equipments","200000","Gym","","",""
"2A","18-19","1","Toilet repairs","160578.71","Toilet","","",""
"2A","18-19","2","Samaj Mandir repairs","160507.13","Buildings","","",""
"2A","18-19","3","Drainage works","176957.42","Drainage","","",""
"2A","18-19","4","Drainage works","179165.28","Drainage","","",""
"2A","18-19","5","Rada Roda cleaning work","172158.34","Cleaning","","",""
"2A","18-19","6","Toilet repairs","172158.34","Toilet","","",""
"2A","18-19","7","benches","126691.77","Benches","","",""
"2A","18-19","8","benches","200000","Benches","","",""
"2A","18-19","9","Toilet repairs","104835.22","Toilet","","",""
"2A","18-19","10","Jute bags ","100000","Bags","","",""
"2A","18-19","11","Jute bags ","200000","Bags","","",""
"2B","18-19","1","Rada Roda cleaning work","165785.46","Cleaning","","",""
"2B","18-19","2","Drainage works","150619.94","Drainage","","",""
"2B","18-19","3","Jute bags ","200000","Bags","","",""
"2B","18-19","4","Jute bags ","200000","Bags","","",""
"2B","18-19","5","Jute bags ","200000","Bags","","",""
"2C","18-19","1","Jute bags ","200000","Bags","","",""
"2C","18-19","2","Jute bags ","200000","Bags","","",""
"2C","18-19","3","Jute bags ","200000","Bags","","",""
"2C","18-19","4","Jute bags ","200000","Bags","","",""
"2C","18-19","5","Jute bags ","200000","Bags","","",""
"2C","18-19","6","Colouring slogans","155568.03","Decoration","","",""
"2C","18-19","7","Colouring slogans","77027.79","Decoration","","",""
"2C","18-19","8","Nameplates","172137.02","Nameplates","","",""
"2C","18-19","9","Samaj Mandir repairs","200000","Buildings","","",""
"2D","18-19","1","benches","196335.92","Benches","","",""
"2D","18-19","2","benches","169283.17","Benches","","",""
"2D","18-19","3","benches","171175.56","Benches","","",""
"2D","18-19","4","Jute bags ","200000","Bags","","",""
