"SINHGAD ROAD","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"30D","17-18","2","Fixing of steel benches at various places  at Janata wasahat","197648.89","Benches","","",""
"30D","17-18","3","Fixing of steel benches at various places  at Janata wasahat","170896.41","Benches","","",""
"30D","17-18","4","Fixing of steel benches at various places  at Janata wasahat","195674.22","Benches","","",""
"30D","17-18","5","Fixing of steel benches at various places  at Janata wasahat","195674.22","Benches","","",""
"30D","17-18","6","Repairing  of Toilets at Janata wasahat, near Dandekar Bridge","148429.49","Toilet","","",""
"30D","17-18","7","Fixing of Pagoda at Janata wasahat, Dattawadi , near Saritanagari","193962.36","Buildings","Resolved","",""
"30D","17-18","8","Fixing of Pagoda at Janata wasahat, Dattawadi , near Radhika Society","193926.28","Buildings","Resolved","",""
"30D","17-18","9","Repairing of Pagoda at Janata wasahat, Dattawadi , near Radhika Society","63603.8","Buildings","Resolved","",""
"30D","17-18","10","Repairing of Drainage Chembers","161157.47","Drainage","","",""
"","","","","","","","",""
"30D","18-19","1","Purches of cloth bags at Janta wasahat dattawadi","200000","Bags","","",""
"30D","18-19","2","Purches of cloth bags at Janta wasahat dattawadi","200000","Bags","","",""
"30D","18-19","3","removal of debaries from quari at Janta wasahat","198416.96","Cleaning","","",""
"30D","18-19","4","removal of debaries from near Nerlekar Hospital","198416.96","Cleaning","","",""
"30D","18-19","5","Furniture work at Kalpana Chawala School","197364.39","Furniture","","",""
"30D","18-19","6","Various work related to Drainage at Ganeshmala area","197090.82","Drainage","","",""
"30D","18-19","7","Various work related to Drainage at Dandekar bridge area","197031.25","Drainage","","",""
"30D","18-19","8","various work related to repairwork & cleaning of chembers ","197819.3","Drainage","","",""
"","","","","","","","",""
"","","","","","","","",""
"33A","17-18","1","supply of murum & repair of blocks","81122.8","Road","","",""
"33A","17-18","2","fixing of speedbreakers","66303.99","Road","","",""
"33A","17-18","3","fixing of speedbreakers","148109.63","Road","","",""
"33A","17-18","4","various development works at Vadgaon crematorium","112459.71","Cemetory / Crematorium","","",""
"33A","17-18","5","various work related to seating arrangement at Vadgaon Cremetorium","112457.55","Cemetory / Crematorium","","",""
"33A","17-18","6","nameplate","200000","Nameplates","","",""
"33A","17-18","7","pavement block","143070.52","Pavement blocks","","",""
"33A","17-18","8","toilet","100000","Toilet","","",""
"33A","17-18","9","fixing of sefaty gate & jali at track near jadhav nagar, Vadgaon(Br.)","59584.99","Fencing","","",""
"33A","17-18","10","Repairwork of Samajmandir at Vadgaon (br.)","147638.97","Buildings","","",""
"33A","17-18","11","gym","200000","Gym","","",""
"","","","","","","","",""
"33B","17-18","1","purches & supply of computers & printer at Sinhgad road ward office.","198000","Computers","","",""
"33B","17-18","2","electrification","200000","Electrification","","",""
"33B","17-18","3","Paint work of Kai. Narayan Navale School, Vadgaon dhyari.","141970.93","Colouring","","",""
"33B","17-18","4","Fixing of Chanels & Jali Below Dhyari Flyover","185974.54","Fencing","","",""
"33B","17-18","5","library","200000","Library","","",""
"33B","17-18","6","supply of Cloth bags to reduce use of plastic bags in Vadgaon dhyari area","200000","Bags","","",""
"33B","17-18","7","bustop","200000","BusStop","","",""
"33B","17-18","8","drainage","147686.98","Drainage","","",""
"33B","17-18","9","school maintainance","146579.48","Buildings","","",""
"33B","17-18","10","bucket purchase","200000","Dustbin/Buckets","","",""
"33B","17-18","11","supply of steel benches at various places","145061.94","Benches","","",""
"33B","17-18","12","fixing of directional bords & zebra crossings at various places at Vadgaon Dhyari","132371.47","Traffic","","",""
"33B","17-18","13","Removal of debaries at various places at Vadgaon Dhyari.","155554.95","Cleaning","","",""
"33B","17-18","14","pavement block","200000","Pavement blocks","","",""
"","","","","","","","",""
"33C","17-18","1","providing of jute bags","200000","Bags","","",""
"33C","17-18","2","Various work related to Drainage works","157062.9","Drainage","","",""
"33C","17-18","3","various repairing work at Corporation  School No. 100 ","153742.55","Buildings","","",""
"33C","17-18","4","repair work of drainage chembers at dhyari","200000","Drainage","","",""
"33C","17-18","5","repair work of drainage chembers at dhyari","156497.7","Drainage","","",""
"33C","17-18","6","supply of jute bags","200000","Bags","","",""
