"GHOLE ROAD - SHIVAJI NAGAR","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","1","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"7A","18-19","1","Picking up radar waste","119000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","18-19","2","Electrical works","162000","Electrification","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","18-19","3","Electrical works","153000","Electrification","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","18-19","4","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","18-19","5","Dustbin distribution","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","18-19","6","Cleaning material distribution","200000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","18-19","7","Nameplates installation","200000","Nameplates","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","18-19","8","Nameplates and direction boards installation","100000","Nameplates","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","18-19","9","P.M.C. colony related repair work","162000","Maintenance","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","18-19","10","Cement road in P.M.C. colony","200000","Concretization","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","18-19","1","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","18-19","2","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","18-19","3","Taekwondo mat and other materials purchasing","200000","Gym","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","18-19","4","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","18-19","5","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","18-19","6","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","18-19","7","Samaj-mandir repair work ","200000","Buildings","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","18-19","1","Colouring and decoration of Agriculture college ","155000","Decoration","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","18-19","2","Buckets distribution for seggregation of waste","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","18-19","3","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","18-19","4","Electrical works","143000","Electrification","No Issue","","","","","","","","","","","","","","","","","","",""
