"GHOLE ROAD - SHIVAJI NAGAR","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","1","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"7C","18-19","5","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","18-19","6","Nameplates and direction boards installation","159000","Nameplates","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","18-19","1","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","18-19","2","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","18-19","3"," 'Patra-shed' work","158000","Buildings","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","18-19","4","Tiles replacement near Sai-baba temple","171000","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","18-19","5","Wall-painting","134000","Colouring","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","18-19","6","Repair work of swimming pool","167000","Maintenance","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","18-19","7","Development work at 'Sanskrutik Bhavan'","161000","Development work","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","18-19","8","Toilet repair and colouring","160000","Toilet","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","18-19","9","Painting walls","153000","Colouring","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","18-19","10","Decoration of statues ","200000","Decoration","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","18-19","1","Buckets distribution for seggregation of waste","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","18-19","2","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","18-19","3","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","18-19","4","Buckets distribution for seggregation of waste","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","18-19","5","Picking up radar waste","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","18-19","6","Colouring thermoplastic","176000","Traffic","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","18-19","7","Blocks installation","200000","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","18-19","8","Toilet related work","200000","Toilet","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","18-19","9","Blocks installation","158000","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","18-19","10","Buckets distribution ","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","","",""
"14B","18-19","1","Buckets distribution for seggregation of waste","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","","",""
"14B","18-19","2","Cloth bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"14B","18-19","3","Cloth bags distribution through Bachat gat","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"14B","18-19","4","Cloth bags distribution through Bachat gat","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"14B","18-19","5","Paver blocks installation","161000","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","","",""
"14B","18-19","6","Paver blocks installation","200000","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","","",""
"14B","18-19","7","Picking up radar waste","165000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"14C","18-19","1","Buckets distribution for seggregation of waste","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","","",""
"14C","18-19","2","Colouring walls ","159000","Colouring","No Issue","","","","","","","","","","","","","","","","","","",""
"14C","18-19","3","Water cooler installation","200000","Water supply","No Issue","","","","","","","","","","","","","","","","","","",""
"14C","18-19","4","Water cooler installation","200000","Water supply","No Issue","","","","","","","","","","","","","","","","","","",""
"14C","18-19","5","Thermoplastic strips painting","85000","Traffic","No Issue","","","","","","","","","","","","","","","","","","",""
"14C","18-19","6","Computers and printers distribution","200000","Computers","No Issue","","","","","","","","","","","","","","","","","","",""
"14C","18-19","7","Computers and printers distribution","200000","Computers","No Issue","","","","","","","","","","","","","","","","","","",""
"14C","18-19","8","Decorative poll (Tulshi Vrundawan) installation","196000","Decoration","No Issue","","","","","","","","","","","","","","","","","","",""
"14C","18-19","9","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"14C","18-19","10","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","18-19","1","Buckets distrinution","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","18-19","2","Electrical works","144000","Electrification","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","18-19","3","Electrical works in Toilet","158000","Electrification","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","18-19","4","Cloth bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","18-19","5","Cloth bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","18-19","6","Samaj-mandir related work","200000","Buildings","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","18-19","7","Samaj-mandir related work","150000","Buildings","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","18-19","8","Thermoplastic strips painting","200000","Traffic","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","19-20","1","Nameplates and direction boards installation","195000","Nameplates","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","19-20","2","Electrical works","123000","Electrification","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","19-20","3","Electrical works","200000","Electrification","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","19-20","4","Cleaning material distributed","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","19-20","5","Cleaning material distributed","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","19-20","6","Miscelleneous Development work ","200000","Development work","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","19-20","1","Cloth bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","19-20","2","Cloth bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","19-20","3","Black phenyl purchased for public toilets","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","19-20","4","Black phenyl purchased for public toilets","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","19-20","5"," 'Patra-shed' and tiles installation","200000","Buildings","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","19-20","6","Phenyl purchased for public toilets","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","19-20","7","Maintainance and miscelleneous development work of Samaj-mandir ","200000","Buildings","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","19-20","8","Cloth bags distribution","100000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","19-20","9","Cleaning material distribution","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","19-20","10","Cleaning material distribution","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","19-20","11","Cleaning material distribution","200000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","19-20","12","Footpath work","200000","Footpath","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","19-20","1","Cloth bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","19-20","2","Cloth bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","19-20","3","Cloth bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","19-20","4","Water-proofing Samaj-Mandir","200000","Buildings","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","19-20","5","Painting walls","130000","Colouring","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","19-20","6","Colouring walls and decoration","121000","Colouring","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","19-20","7","Drainage line repair","200000","Drainage","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","19-20","8","Drainage line repair","200000","Drainage","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","19-20","1","Jute bags distribution","200000","Bags","Resolved","Available fund 100,000, but spent 200,000????","","","","","","","","","","","","","","","","","",""
"7D","19-20","2","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","19-20","3","Jute bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","19-20","4","Colouring walls","130000","Colouring","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","19-20","5","Decorating walls","137000","Decoration","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","19-20","6","Decorative electrical polls installation and related works","200000","Decoration","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","19-20","7","Colouring walls and decoration","109000","Colouring","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","19-20","8","Statue decoration","88000","Decoration","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","19-20","1","Drainage line cleaning and related work","200000","Drainage","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","19-20","2","Cloth bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","19-20","3","Cloth bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","19-20","4","Cloth bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","19-20","5","Drainage related work","200000","Drainage","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","19-20","6","Drainage and man-hole cleaning","200000","Drainage","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","19-20","7","Wall-painting","200000","Colouring","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","19-20","8","Thermoplastic strips painting and related works","200000","Traffic","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","19-20","9","Thermoplastic painting","200000","Traffic","No Issue","","","","","","","","","","","","","","","","","","",""
"14A","19-20","10","Painting white strips on the roads for safety reasons","200000","Traffic","No Issue","","","","","","","","","","","","","","","","","","",""
"14B","19-20","1","fire extinguisher installation","200000","Fire Brigade","No Issue","","","","","","","","","","","","","","","","","","",""
"14B","19-20","2","Paver blocks installation","200000","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","","",""
"14B","19-20","3","Cloth bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"14B","19-20","4","Cloth bags distribution through Bachat gat","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"14B","19-20","5","Buckets distribution","100000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","","",""
"14B","19-20","6","Benches distribution","200000","Benches","No Issue","","","","","","","","","","","","","","","","","","",""
"14B","19-20","7","Paver blocks repair related work","200000","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","","",""
"14B","19-20","8","Cloth bags distribution","200000","Bags","No Issue","","","","","","","","","","","","","","","","","","",""
"14C","19-20","1","Flood relief fund","100000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","","",""
"14C","19-20","2","Making 'Doll-house' in the school for special children","165000","Decoration","Resolved","Code??","","","","","","","","","","","","","","","","","",""
"14C","19-20","3","New library","151000","Library","No Issue","","","","","","","","","","","","","","","","","","",""
"14C","19-20","4","Tiles installation and related work","141000","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","","",""
"14C","19-20","5","Tiles installation and related work","138000","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","19-20","1","Gym related development work","189000","Gym","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","19-20","2"," 'Dhakal-gadi' for 'Aarogya Kothi'","100000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","19-20","3","Cleaning material for 'Aarogya Kothi'","100000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","19-20","4"," 'Gaal-gadi' for 'Aarogya Kothi'","100000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","19-20","5","Cleaning material for 'Aarogya Kothi'","100000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","19-20","6"," 'Dhakal-gadi' for 'Aarogya Kothi'","100000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","19-20","7","Flood relief fund","100000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","19-20","8","Buckets distribution","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","19-20","9","Buckets distribution","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","19-20","10","Benches distribution","200000","Benches","No Issue","","","","","","","","","","","","","","","","","","",""
"14D","19-20","11","Benches distribution","200000","Benches","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","20-21","1","Mask distribution","200000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","20-21","2","Hands free wash basin installation","199000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","20-21","3","Wall-painting","199000","Colouring","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","20-21","4","Wall-painting","199000","Colouring","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","20-21","5","Drinking water tanks cleaning","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","20-21","6","Drinking water tanks cleaning","199000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","20-21","7","Brooms provided for 'Arogya Kothi'","200000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","20-21","8","P.M.C. colony related repair work","196000","Maintenance","No Issue","","","","","","","","","","","","","","","","","","",""
"7A","20-21","9","School rooms painting","177000","Colouring","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","20-21","1","Mask distribution","200000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","20-21","2","Black phenyl purchased for public toilets","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","20-21","3","Library construction","181000","Library","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","20-21","4","Library construction","191000","Library","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","20-21","5","Fragrant phenyl purchased for public toilets","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","20-21","6","Library construction","200000","Library","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","20-21","7","Brooms provided for 'Arogya Kothi'","200000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","20-21","8","Brooms distribution","200000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","20-21","9"," 'Baudhha-Vihar' repair work","199000","Buildings","No Issue","","","","","","","","","","","","","","","","","","",""
"7B","20-21","10","School rooms painting","196000","Colouring","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","20-21","1","Mask distribution","200000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","20-21","2","Sensor-wash basin installation in Covid-zones","199000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","20-21","3","Acid and phenyl provided for 'Arogya Kothi'","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","20-21","4","Hand free sanitizer stand distribution","192000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","20-21","5","Computers and printers distribution","198000","Computers","No Issue","","","","","","","","","","","","","","","","","","",""
"7C","20-21","6","Computers and printers distribution","198000","Computers","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","20-21","1","Hand free wash basin installation","199000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","20-21","2","Mask distribution","200000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","20-21","3","Sensor-wash basin installation in Covid-zones","199000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","20-21","4","Shed construction near Toilet and related work","168000","Buildings","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","20-21","5","Fragrant phenyl distribution","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","20-21","6","Basin and water-taps installation is schools","199000","Water supply","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","20-21","7","School painting","195000","Colouring","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","20-21","8","School rooms painting","197000","Colouring","No Issue","","","","","","","","","","","","","","","","","","",""
"7D","20-21","9","Walls-painting","199000","Decoration","No Issue","","","","","","","","","","","","","","","","","","",""
