"DHANKAWADI - SAHAKAR NAGAR","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"40B","18-19","6","Drainage line cleaning and repairing","176136.24","Drainage","No Issue","",""
"40B","18-19","7","Installing nameplates","170829.59","Nameplates","No Issue","",""
"40B","18-19","8","Installing nameplates","95941.44","Nameplates","Resolved","Wrong amount in the received information. Extra digit maybe.","Corrected as 95941.44"
"40C","18-19","1","Picking up radar waste","89184.82","Cleaning","No Issue","",""
"40C","18-19","2","Drainage line cleaning and repairing","197930.06","Drainage","No Issue","",""
"40C","18-19","3","Picking up radar waste","194595.2","Cleaning","No Issue","",""
"40D","18-19","1","Drainage line and concrete work","197697.84","Drainage","No Issue","",""
"40D","18-19","2","Fencing work for park","188239.97","Fencing","No Issue","",""
"40D","18-19","3","Installing sheds","192772.67","Buildings","No Issue","",""
"40D","18-19","4","Supplying cloth bags","200000","Bags","No Issue","",""
"40D","18-19","5","Supplying cloth bags","200000","Bags","No Issue","",""
"40D","18-19","6","Installing sheds","192772.67","Buildings","No Issue","",""
"40D","18-19","7","Installing facilities in park","98789.65","Garden","No Issue","",""
"40D","18-19","8","Installing attractive items in park","196310.84","Electrification","No Issue","",""
"35A","19-20","1","Drainage repairing related work","199962.45","Drainage","No Issue","",""
"35A","19-20","2","Drainage repairing related work","197257.96","Drainage","No Issue","",""
"35A","19-20","3","Road related work","197515.98","Road","No Issue","",""
"35A","19-20","4","Community temple repairing","194516.54","Buildings","No Issue","",""
"35A","19-20","5","Supplying murum","99875.87","Road","Resolved","I think this is related to rocks used in construction but not sure.","Looks okay"
"35A","19-20","6","Electricity related work","196279.64","Electrification","No Issue","",""
"35A","19-20","7","Installation of water lines","196819.8","Water supply","No Issue","",""
"35B","19-20","1","Picking up radar waste and repairing work","199942.44","Cleaning","No Issue","",""
"35B","19-20","2","Setting up electricity items in toilets","193151.41","Electrification","No Issue","",""
"35B","19-20","3","Drainage cleaning and repairing","199823.89","Drainage","No Issue","",""
"35B","19-20","4","Drainage cleaning and repairing","199615.29","Drainage","No Issue","",""
"35B","19-20","5","Installation of GI line","199549.4","Water supply","No Issue","",""
"35B","19-20","6","Electricity related work","196219.76","Electrification","No Issue","",""
"35B","19-20","7","Electricity repairing related work","196896.2","Electrification","No Issue","",""
"35B","19-20","8","Installation of CCTV cameras","195466.81","CCTV","No Issue","",""
"35B","19-20","9","Installation of GI line","199666.94","Water supply","No Issue","",""
"35B","19-20","10","Installation of GI line","190045.94","Water supply","No Issue","",""
"35C","19-20","1","Installing direction boards","181585.21","Nameplates","No Issue","",""
"35C","19-20","2","Repairing work in schools","197544.45","Buildings","No Issue","",""
"35C","19-20","3","Fencing and other work","196640.71","Fencing","No Issue","",""
"35C","19-20","4","Installation of water lines","168700.84","Water supply","No Issue","",""
"35C","19-20","5","Coloring work","198869.44","Colouring","No Issue","",""
"35C","19-20","6","Library related work","198967.5","Library","No Issue","",""
"35C","19-20","7","Installation of various lines","183860.63","Water supply","Resolved","I think this might be water line but it is not mentioned what lines work is done","Yes, water line. "
