"NAGAR ROAD- VADGAON SHERI","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","",""
"3D","19-20","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","99923.15","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","9","Road Construction / Colouring Roads / Railing Work / Speed Breaker","99923.15","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","1","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199961.66","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","2","Library sheds/ library maintenance","199779.78","Library","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","3","Pavement Blocks / Grouting / Laying tiles","199828.6","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","4","Drainage works","199809.12","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","5","Drainage works","199809.12","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","6","Colouring works","199940.16","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","7","Furniture works, curtains etc.","199940.16","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"4A","19-20","8","Furniture works, curtains etc.","199831.52","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","1","Mainetnance and cleaning works","199901","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","2","Building toilets / maintenance etc.","200000","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","3","Drainage works","177813.22","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","4","Distributing Dustbins/buckets","199901","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","5","Drainage works","149848.26","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","6","Jute bags/ cloth/ canvas bags etc.","178550","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","7","Colouring works","159776.57","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"4B","19-20","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","174875.45","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","1","Mainetnance and cleaning works","172359","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","2","Library sheds/ library maintenance","169803","Library","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","3","Library sheds/ library maintenance","199779.78","Library","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","4","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","199903.76","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","5","Library sheds/ library maintenance","199841.6","Library","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","6","Cemetory Colouring works","199951.36","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","7","Cemetory development work","199924.48","Cemetory / Crematorium","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","8","Cemetory development work","199903.76","Cemetory / Crematorium","No Issue","","","","","","","","","","","","","","","","","",""
"4C","19-20","9","Market related works","199841.6","Markets /Mandi","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","1","Furniture works, curtains etc.","199977.68","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","76849.32","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","3","Gym / gym equipments","199607.52","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","4","Furniture works, curtains etc.","199809.12","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","5","Drainage works","151713","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","6","Colouring works of library","171630","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","7","Furniture works, curtains etc.","199977.68","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","8","Drainage works","149305","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","9","Mandai/market mainetnance and cleaning works","199977.68","Markets /Mandi","No Issue","","","","","","","","","","","","","","","","","",""
"4D","19-20","10","Mandai/market miscelleneous Development work","199885.84","Markets /Mandi","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","1","Road Construction / Colouring Roads / Railing Work / Speed Breaker","173655","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","2","Drainage works","171610","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","3","Concretization","161914","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","4","Drainage works","128464.56","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","5","Cleaning material purchase etc","161883","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","6","Maintenance and cleaning works","161861","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","7","Miscelleneous Development work","200000","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"5A","19-20","8","Miscelleneous Development work","157932","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","1","Hospital / clinics/ medical facilities","132115.251","Medical","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","155322.247","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","3","Picking of radar waste","154208","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","4","Road Construction / Colouring Roads / Railing Work / Speed Breaker","155346.784","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","5","Colouring works","139658","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","6","Drainage works","148940","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","7","Building toilets / maintenance etc.","149516","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","8","Picking of radar waste","149721","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","9","Bags","200000","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"5B","19-20","10","Road Construction / Colouring Roads / Railing Work / Speed Breaker","174516.64","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","1","Benches","200000","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","2","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","197940","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","3","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","179546","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","4","Benches","163058.39","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","5","Bags","200000","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","6","Speed breaker","178347","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","7","White strips painting on roads","200000","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","8","Distributing Dustbins/buckets","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"5C","19-20","9","Ghanta gadi purchase","200000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","1","Road Construction / Colouring Roads / Railing Work / Speed Breaker","200000","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","155322.247","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","3","Drainage works","138993.935","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","4","Library sheds/ library maintenance","155987.835","Library","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","5","Mainetnance and cleaning works","154932.858","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","6","White strips painting on roads","163872","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","7","White strips painting on roads","158406","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","8","Drainage works","148938","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","9","Picking of radar waste","149721","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","10","Toilet repair and cleaning","148732","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5D","19-20","11","Bags","200000","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","1","Distributing Dustbins/buckets","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","2","Distribution of scented phenyl and acid","199971","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","3","Picking of radar waste","197692","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","4","Drainage works","187824","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","5","Drainage works","156799","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","6","Road Concretization","178395","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","7","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199567","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","8","Distribution of masks","195000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","9","Footpaths / pedestrian crossings","200000","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"3A","20-21","10","Drainage works","197622","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","1","Distribution of masks","200000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","2","Cleaning material purchase etc","141627","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","3","Road Construction / Colouring Roads / Railing Work / Speed Breaker","161706","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","4","Pavement Blocks / Grouting / Laying tiles","161540","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","5","Road Construction / Colouring Roads / Railing Work / Speed Breaker","161500","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","6","Drainage works","197825","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","7","Library sheds/ library maintenance","155370","Library","No Issue","","","","","","","","","","","","","","","","","",""
"3B","20-21","8","Drainage works","160090","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","1","Water pipelines, repairing etc.","200000","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","2","Water pipelines, repairing etc.","199735.74","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","3","Mask distribution","200000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","4","Furniture work at library sheds/ library maintenance","199910","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","5","Library maintenance","199860","Library","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","6","Sanitizer system installation","199938","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","7","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199892","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199399","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","9","Public dustbins, maintenance, waste disposal facility","200000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"3C","20-21","10","Distributing Dustbins/buckets","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","1","Fencing / walls / gates","105000","Fencing","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","2","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","149788","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","3","Drainage works","127811","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","4","Road Concretization","122453","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","5","Chamber cleaning","134010","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","6","Road Concretization","122267","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","7","Drainage works","110055","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","8","Water pipelines, repairing etc.","99117","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","9","Road Construction / Colouring Roads / Railing Work / Speed Breaker","77221","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3D","20-21","10","Distribution of masks","200000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","1","Colouring works","142585","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","2","Drainage works","123628","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","3","Road Concretization","122414","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","4","Cleaning material purchase etc","131972","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","5","Drainage works","122628","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","6","Furniture works, curtains etc.","155760","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","7","Library sheds/ library maintenance","155808","Library","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","155716","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4A","20-21","9","Distribution of masks","200000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","1","Drainage works","133272","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","173718","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","3","Drainage works","133909","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","4","Road Construction / Colouring Roads / Railing Work / Speed Breaker","134064","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","5","Distribution of masks","100000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","6","Distribution of masks","200000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","7","Jute bags/ cloth/ canvas bags etc.","200000","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199918.32","Road","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","9","Gym / gym equipments","129950","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","10","Gym / gym equipments","128910","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"4B","20-21","11","Distribution of masks","100000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","1","Building toilets / maintenance etc.","157899","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","2","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","148314","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","3","Drainage works","120581","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","4","Cleaning material purchase etc","131919","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","5","Library sheds/ library maintenance","148315","Library","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","6","Library sheds/ library maintenance","177789","Library","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","7","Shed construction","145729","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","8","Distribution of masks","200000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4C","20-21","9","Mainetnance and cleaning works","197597","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","1","Drainage works","123242","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","2","Mainetnance and cleaning works","200000","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","3","gym / gym equipments","148241","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","4","Distribution of masks","200000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","5","Hands free wash basin system installation","199918","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","6","Sanitizer system installation","199357","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","7","Mainetnance and cleaning works","179230","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"4D","20-21","8","Drainage works","199064","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","1","Sanitizer stand supply","199350","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","2","Bags","198987.75","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","3","Building toilets / maintenance etc.","135605","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","4","Pavement Blocks / Grouting / Laying tiles","144076","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","5","Picking of radar waste","131103","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","6","Mask distribution","195500","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","7","Push vehicles supply","200000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","8","Push vehicles supply","200000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","9","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199618","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5A","20-21","10","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199618","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","1","Sanitizer wash basin system installation","199316","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","2","Sanitizer wash basin system installation","199947.552","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","3","Drainage works","199950","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","4","Mask distribution","195500","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","5","Toilet repair","199600","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","6","Toilet repair","199801","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","7","Drainage related work","199793","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","8","Drainage works","199786","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","9","Toilet repair","199785.3","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5B","20-21","10","Market related works","199949","Markets /Mandi","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","1","Mask purchase","200000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","2","Mask purchase","195500","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","3","Bags","198646.34","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","4","Sanitizer stand purchase","199305","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","5","Distributing Dustbins/buckets","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","6","Push vehicles supply","200000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","7","Hand wash basin sanitizer stand installation","200000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","8","Installation of direction boards","195326.61","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","9","Push vehicles supply","200000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"5C","20-21","10","Electrification/new street lights","200000","Electrification","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","1","Building toilets / maintenance etc.","199953","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","2","Sanitizer wash basin system installation","199316","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","3","Sanitizer wash basin system installation","199938","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","4","Mask purchase","195500","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","5","Market related works","199900","Markets /Mandi","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","6","Market related works","199029","Markets /Mandi","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","7","Drainage works","199711","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","8","Drainage works","199826","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","9","Building toilets / maintenance etc.","199778","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5D","20-21","10","Picking of radar waste","199957","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5A","21-22","1","Waste disposal","200000","Waste disposal","","","","","","","","","","","","","","","","","","",""
"5A","21-22","2","Waste disposal","200000","Waste disposal","","","","","","","","","","","","","","","","","","",""
"5A","21-22","3","Waste disposal","200000","Waste disposal","","","","","","","","","","","","","","","","","","",""
"5A","21-22","4","Pavement Blocks / Grouting / Laying tiles","112023.24","Pavement blocks","","","","","","","","","","","","","","","","","","",""
"5A","21-22","5","Cleaning material purchase etc","119654.51","Cleaning","","","","","","","","","","","","","","","","","","",""
"5A","21-22","6","Work","66272.89","Development work","","","","","","","","","","","","","","","","","","",""
"5A","21-22","7","Waste disposal","200000","Waste disposal","","","","","","","","","","","","","","","","","","",""
"5A","21-22","8","Waste disposal","200000","Waste disposal","","","","","","","","","","","","","","","","","","",""
"5B","21-22","9","Drainage","110445.3","Drainage","","","","","","","","","","","","","","","","","","",""
"5B","21-22","10","Drainage","101783.76","Drainage","","","","","","","","","","","","","","","","","","",""
"5B","21-22","11","Drainage","101784.26","Drainage","","","","","","","","","","","","","","","","","","",""
"5B","21-22","12","Toilet work","101785.13","Toilet","","","","","","","","","","","","","","","","","","",""
"5B","21-22","13","Drainage","101782.28","Drainage","","","","","","","","","","","","","","","","","","",""
"5B","21-22","14","Toilet work","72916","Toilet","","","","","","","","","","","","","","","","","","",""
"5B","21-22","15","Dustbin/Buckets","200000","Dustbin/Buckets","","","","","","","","","","","","","","","","","","",""
"5C","21-22","16","Concretization","120812","Concretization","","","","","","","","","","","","","","","","","","",""
"5C","21-22","17","Drainage","114351.31","Drainage","","","","","","","","","","","","","","","","","","",""
"5C","21-22","18","Drainage","127740.92","Drainage","","","","","","","","","","","","","","","","","","",""
"5C","21-22","19","Nameplates","104284.12","Nameplates","","","","","","","","","","","","","","","","","","",""
"5C","21-22","20","Cleaning","106777.78","Cleaning","","","","","","","","","","","","","","","","","","",""
"5C","21-22","21","Dustbin/Buckets","200000","Dustbin/Buckets","","","","","","","","","","","","","","","","","","",""
"5C","21-22","22","Electrification/new street lights","200000","Electrification","","","","","","","","","","","","","","","","","","",""
"5C","21-22","23","Electrification/new street lights","100000","Electrification","","","","","","","","","","","","","","","","","","",""
"5D","21-22","24","Drainage","122509.67","Drainage","","","","","","","","","","","","","","","","","","",""
"5D","21-22","25","Pavement Blocks / Grouting / Laying tiles","121294.93","Pavement blocks","","","","","","","","","","","","","","","","","","",""
"5D","21-22","26","Pavement Blocks / Grouting / Laying tiles","122243.74","Pavement blocks","","","","","","","","","","","","","","","","","","",""
"5D","21-22","27","Drainage","113266.49","Drainage","","","","","","","","","","","","","","","","","","",""
"5D","21-22","28","Electrification/new street lights","200000","Electrification","","","","","","","","","","","","","","","","","","",""
"5D","21-22","29","Electrification/new street lights","200000","Electrification","","","","","","","","","","","","","","","","","","",""
"5D","21-22","30","Electrification/new street lights","200000","Electrification","","","","","","","","","","","","","","","","","","",""
"5D","21-22","31","Work","100000","Development work","","","","","","","","","","","","","","","","","","",""
"3B","21-22","32","Drainage","176484.53","Drainage","","","","","","","","","","","","","","","","","","",""
"3B","21-22","33","Cleaning","176624.91","Cleaning","","","","","","","","","","","","","","","","","","",""
"3B","21-22","34","Drainage","176729.14","Drainage","","","","","","","","","","","","","","","","","","",""
"3B","21-22","35","Footpaths / pedestrian crossings","149221.48","Footpath","","","","","","","","","","","","","","","","","","",""
"3B","21-22","36","Footpaths / pedestrian crossings","145835.1","Footpath","","","","","","","","","","","","","","","","","","",""
"3B","21-22","37","Drainage","155948.15","Drainage","","","","","","","","","","","","","","","","","","",""
"3B","21-22","38","Electrification/new street lights","200000","Electrification","","","","","","","","","","","","","","","","","","",""
"3C","21-22","39","Water pipelines, repairing etc.","200000","Water supply","","","","","","","","","","","","","","","","","","",""
"3C","21-22","40","Footpaths / pedestrian crossings","109784.91","Footpath","","","","","","","","","","","","","","","","","","",""
"3C","21-22","41","Drainage","111599.81","Drainage","","","","","","","","","","","","","","","","","","",""
"3C","21-22","42","Road","105371.94","Road","","","","","","","","","","","","","","","","","","",""
"3C","21-22","43","Drainage","109829.07","Drainage","","","","","","","","","","","","","","","","","","",""
"3C","21-22","44","Building","128761.03","Buildings","","","","","","","","","","","","","","","","","","",""
"3C","21-22","45","Waste disposal","100000","Waste disposal","","","","","","","","","","","","","","","","","","",""
"3C","21-22","46","Electrification/new street lights","200000","Electrification","","","","","","","","","","","","","","","","","","",""
"3D","21-22","47","Road","124084.81","Road","","","","","","","","","","","","","","","","","","",""
"3D","21-22","48","Building","60912.51","Buildings","","","","","","","","","","","","","","","","","","",""
"3D","21-22","49","Cleaning","114236.16","Cleaning","","","","","","","","","","","","","","","","","","",""
"3D","21-22","50","Drainage","112496.64","Drainage","","","","","","","","","","","","","","","","","","",""
"3D","21-22","51","Drainage","111608.39","Drainage","","","","","","","","","","","","","","","","","","",""
"3D","21-22","52","Drainage","109834.81","Drainage","","","","","","","","","","","","","","","","","","",""
"3D","21-22","53","Work","200000","Development work","","","","","","","","","","","","","","","","","","",""
"3D","21-22","54","Work","200000","Development work","","","","","","","","","","","","","","","","","","",""
"3D","21-22","55","Work","200000","Development work","","","","","","","","","","","","","","","","","","",""
"4A","21-22","56","Cleaning","112415.31","Cleaning","","","","","","","","","","","","","","","","","","",""
"4A","21-22","57","Drainage","97997.32","Drainage","","","","","","","","","","","","","","","","","","",""
"4A","21-22","58","Drainage","105331.22","Drainage","","","","","","","","","","","","","","","","","","",""
"4B","21-22","59","Cleaning","112415.51","Cleaning","","","","","","","","","","","","","","","","","","",""
"4B","21-22","60","Drainage","97939.88","Drainage","","","","","","","","","","","","","","","","","","",""
"4B","21-22","61","Drainage","121421.14","Drainage","","","","","","","","","","","","","","","","","","",""
"4B","21-22","62","Drainage","114752.51","Drainage","","","","","","","","","","","","","","","","","","",""
"4C","21-22","63","Drainage","97297.07","Drainage","","","","","","","","","","","","","","","","","","",""
"4C","21-22","64","Cleaning","112415.51","Cleaning","","","","","","","","","","","","","","","","","","",""
"4C","21-22","65","Drainage","124904.15","Drainage","","","","","","","","","","","","","","","","","","",""
"4D","21-22","66","Cleaning","112415.51","Cleaning","","","","","","","","","","","","","","","","","","",""
