"NAGAR ROAD- VADGAON SHERI","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","",""
"5A","17-18","3","Electrical works at toilet","135000","Electrification","No Issue","","","","","","","","","","","","","","","","","",""
"5A","17-18","4","Drainage works","176000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5A","17-18","5","Road Construction / Colouring Roads / Railing Work / Speed Breaker","189000","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5A","17-18","6","Picking of radar waste","149000","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5A","17-18","7","Drainage works","159000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5A","17-18","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","128000","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","1","Benches","127000","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","2","Wall painting (slogans)","149000","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","3","Colouring works","176000","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","4","Distributing Computers","161000","Computers","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","5","Drainage works","134000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","6","Gym / gym maintenance","144000","Gym","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","7","Drainage works","197000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","8","Drainage works","128000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","9","White-yellow stripes painting on road","129000","Traffic","No Issue","","","","","","","","","","","","","","","","","",""
"5B","17-18","10","Bags","200000","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","1","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","157000","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","2","Distributing Dustbins/buckets","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","3","Push vehicles supply","200000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","4","Benches","161000","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","5","Picking of radar waste","134000","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","6","Drainage works","144000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","7","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","197000","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","8","Benches","128000","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","9","Picking of radar waste","129000","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5C","17-18","10","Road Construction / Colouring Roads / Railing Work / Speed Breaker","156000","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","1","Drainage works","192000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
