"","","","","","","","","","","","","","","134","102","103","126","141","606","0","","","","","","","","","","","","","",""
"Ward office","Ward","Ward Name","Name","Gender","Party","Served on any Municipal Committee?","17-18","18-19","19-20","20-21","21-22","Total","Total working days","17-18","18-19","19-20","20-21","21-22","Total","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","",""
"Shivajinagar-GholeRd","14A","Deccan Gymkhana- Model Colony","Swati Lokhande","F","BJP","","124","98","59","71","85","352","606","0.92537313432836","0.96078431372549","0.57281553398058","0.56349206349206","0.60283687943262","0.58085808580858","No Issue","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","14B","Deccan Gymkhana- Model Colony","Nilima Khade","F","BJP","Standing Committee","130","81","91","111","111","413","606","0.97014925373134","0.79411764705882","0.88349514563107","0.88095238095238","0.78723404255319","0.68151815181518","No Issue","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","14C","Deccan Gymkhana- Model Colony","Jyotsna Ekbote","F","BJP","Sports Committee, Women & child welfare","111","97","85","115","132","408","606","0.82835820895522","0.95098039215686","0.8252427184466","0.91269841269841","0.93617021276596","0.67326732673267","No Issue","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","7C","Pune University- Wakadewadi","Aditya Malve","M","BJP","Name Committee","123","95","95","98","139","411","606","0.91791044776119","0.93137254901961","0.92233009708738","0.77777777777778","0.98581560283688","0.67821782178218","No Issue","","","","","","","","","","","","","",""
"Shivajinagar-GholeRd","14D","Deccan Gymkhana- Model Colony","Siddharth Shirole","M","BJP","","92","77","35","20","18","224","606","0.6865671641791","0.75490196078431","0.33980582524272","0.15873015873016","0.12765957446809","0.36963696369637","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","30B","Janata Vasahat- Dattawadi","Priya Gadade","F","NCP","Standing Committee, Name Committee, Law Committee","72","48","90","92","90","302","606","0.53731343283582","0.47058823529412","0.87378640776699","0.73015873015873","0.63829787234043","0.4983498349835","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","30C","Janata Vasahat- Dattawadi","Anita Kadam","F","BJP","Women & child welfare","127","102","93","87","128","409","606","0.94776119402985","1","0.90291262135922","0.69047619047619","0.90780141843972","0.67491749174917","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","33B","Vadgaon Dhayari- Suncity","Rajashri Navale","F","BJP","Name Committee, Law Committee, Women & child welfare","118","99","83","74","75","374","606","0.88059701492537","0.97058823529412","0.80582524271845","0.58730158730159","0.53191489361702","0.61716171617162","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","33C","Vadgaon Dhayari- Suncity","Neeta Dangat","F","BJP","City Development Committee, Women & child welfare","110","87","89","69","104","355","606","0.82089552238806","0.85294117647059","0.86407766990291","0.54761904761905","0.73758865248227","0.58580858085809","No Issue","","","","","","","","","","","","","",""
"SinhgadRd","34B","Vadgaon Budruk- Hingane Khurd","Jyoti Gosavi","F","BJP","City Development Committee, Law Committee, Women & child welfare","130","99","84","113","121","426","606","0.97014925373134","0.97058823529412","0.81553398058252","0.8968253968254","0.85815602836879","0.7029702970297","No Issue","","","","","","","","","","","","","",""
