"KASBA - VISHRAMBAUG WADA","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","20","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"15B","20-21","3","","","","","","","","","","","","","","","","","","","","","","",""
"15B","20-21","4","","","","","","","","","","","","","","","","","","","","","","",""
"15B","20-21","5","","","","","","","","","","","","","","","","","","","","","","",""
"15B","20-21","6","","","","","","","","","","","","","","","","","","","","","","",""
"15B","20-21","7","","","","","","","","","","","","","","","","","","","","","","",""
"15B","20-21","8","","","","","","","","","","","","","","","","","","","","","","",""
"15B","20-21","9","","","","","","","","","","","","","","","","","","","","","","",""
"15B","20-21","10","","","","","","","","","","","","","","","","","","","","","","",""
"15B","20-21","11","","","","","","","","","","","","","","","","","","","","","","",""
"15B","20-21","12","","","","","","","","","","","","","","","","","","","","","","",""
"15B","20-21","13","","","","","","","","","","","","","","","","","","","","","","",""
"15B","20-21","14","","","","","","","","","","","","","","","","","","","","","","",""
"15D","20-21","1","","","","","","","","","","","","","","","","","","","","","","",""
"15D","20-21","2","","","","","","","","","","","","","","","","","","","","","","",""
"15D","20-21","3","","","","","","","","","","","","","","","","","","","","","","",""
"15D","20-21","4","","","","","","","","","","","","","","","","","","","","","","",""
"15D","20-21","`1","","","","","","","","","","","","","","","","","","","","","","",""
"15D","20-21","2","","","","","","","","","","","","","","","","","","","","","","",""
"15D","20-21","3","","","","","","","","","","","","","","","","","","","","","","",""
"15D","20-21","4","","","","","","","","","","","","","","","","","","","","","","",""
"15D","20-21","5","","","","","","","","","","","","","","","","","","","","","","",""
"15D","20-21","6","","","","","","","","","","","","","","","","","","","","","","",""
"15D","20-21","7","","","","","","","","","","","","","","","","","","","","","","",""
"15D","20-21","8","","","","","","","","","","","","","","","","","","","","","","",""
"15D","20-21","9","","","","","","","","","","","","","","","","","","","","","","",""
"15D","20-21","10","","","","","","","","","","","","","","","","","","","","","","",""
"15D","20-21","11","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"16A","17-18","1","Miscellaneous development work","100000","Footpath","","","","","","","","","","","","","","","","","","","",""
"16A","17-18","2","Concretization","927000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","17-18","3","Concretization","511000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","17-18","4"," Concretization","782000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","17-18","5","Concretization in Mangalwar Peth","920000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","17-18","6","Concretization in Mangalwar Peth","928000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","17-18","7","Road repairing ","907000","Maintenance","","","","","","","","","","","","","","","","","","","",""
"16A","17-18","8","Decoration","388000","Decoration","","","","","","","","","","","","","","","","","","","",""
"16A","17-18","9","Drainage work","788000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16A","17-18","10","Drainage work","819000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16A","17-18","11","Drainage work and flooring","891000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16A","17-18","12","Drainage work and flooring","189000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16A","17-18","13","Drainage work","100000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16A","17-18","14","Drainage work and  Concretization","100000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16B","17-18","1","Rennovation and repairing of sidewalks ","883000","Footpath","","","","","","","","","","","","","","","","","","","",""
"16B","17-18","2","Rennovation and repairing of sidewalks ","889000","Footpath","","","","","","","","","","","","","","","","","","","",""
"16B","17-18","3","Rennovation and repairing of sidewalks ","886000","Footpath","","","","","","","","","","","","","","","","","","","",""
"16B","17-18","4","Putting drainage line","912000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16B","17-18","5","Putting drainage line","917000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16B","17-18","6","Putting drainage line","918000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16B","17-18","7","Putting drainage line","911000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16B","17-18","8","Putting drainage line","917000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16B","17-18","9","Putting drainage line","928000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16B","17-18","10","Putting drainage line","861000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16B","17-18","11","Putting drainage line","914000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16B","17-18","12","Putting drainage line","918000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16B","17-18","13","Putting drainage line","905000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16B","17-18","14","Putting drainage line","900000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16B","17-18","15","Miscellaneous development work","420000","Development work","","","","","","","","","","","","","","","","","","","",""
"16C","17-18","1","Concretization","202700","Road","","","","","","","","","","","","","","","","","","","",""
"16C","17-18","2","Making Footpath ","898000","Footpath","","","","","","","","","","","","","","","","","","","",""
"16C","17-18","3","Concreating and Laying Tiles","761000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16C","17-18","4","Concretization of road","671000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16C","17-18","5","Concretization","772000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16C","17-18","6","Decoration","100000","Decoration","","","","","","","","","","","","","","","","","","","",""
"16C","17-18","7","Repairing toilets and Putting drainage line","921000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16D","17-18","1","Making Coal tar roads ","136900","Road","","","","","","","","","","","","","","","","","","","",""
"16D","17-18","2","Making Coal tar roads ","100000","Road","","","","","","","","","","","","","","","","","","","",""
"16D","17-18","3","Concretization of road","637000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","17-18","4","Concretization of road","202200","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","17-18","5","Concretization of road","109200","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","17-18","6","Concretization of road","187200","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","17-18","7","Concretization of road","126000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","17-18","8","Concretization of road","854000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","17-18","9","Miscellaneous development work","100000","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","17-18","10","Concreatization","100000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","17-18","11","Miscellaneous development work","100000","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","17-18","12","Footpath repairing and decoration","896000","Footpath","","","","","","","","","","","","","","","","","","","",""
"16","18-19","c","Making Footpath ","133400","Footpath","","","","","","","","","","","","","","","","","","","",""
"16","18-19","2","Making Footpath ","524000","Footpath","","","","","","","","","","","","","","","","","","","",""
"16","18-19","3","Steel bollards","759000","Steel Bollards","","","","","","","","","","","","","","","","","","","",""
"16","18-19","4","Steel bollards","896000","Steel Bollards","","","","","","","","","","","","","","","","","","","",""
"16","18-19","5","Distribution of cloth and jute bags","100000","Bags","","","","","","","","","","","","","","","","","","","",""
"16","18-19","6","Distributing Dustbins/buckets","100000","Dustbin/Buckets","","","","","","","","","","","","","","","","","","","",""
"16","18-19","7","Distributing Dustbins/buckets","100000","Dustbin/Buckets","","","","","","","","","","","","","","","","","","","",""
"16","18-19","8","Pavsali line and Drainage repairing","856000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","18-19","9","Pavsali line and Drainage repairing","897000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","18-19","10","Putting drainage line","992000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","18-19","11","Putting drainage line","897000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","18-19","12","Putting drainage line","887000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","18-19","13","Putting drainage line","899000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","18-19","14","Cleaning gutters","973000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","18-19","15","Cleaning gutters","615000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","18-19","16","Pavsali line and Drainage repairing","879000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","18-19","17","Pavsali line and Drainage repairing","830000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","18-19","18","Cleaning gutters","100000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","18-19","19","Toilet repairing","949000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","18-19","20","Toilet repairing","154000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","1","Making Footpath ","989000","Footpath","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","2","Laying Tiles","891000","Footpath","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","3","Miscellaneous development work","988000","Development work","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","4","Concretization of road","988000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","5","Concretization of road","993000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","6","Concretization","985000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","7","Concretization","986000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","8","Concretization","989000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","9","Concretization","988000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","10","Concretization","985000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","11","Decoration","100000","Decoration","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","12","Decoration","100000","Decoration","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","13","Pavsali line ","989000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","14","Cleaning Drainage line","703000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","15","Cleaning Drainage line","329000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","16","Cleaning gutters","473000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","17","Miscellaneous development work","997000","Development work","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","18","Drainage line and Concretization","782000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16A","18-19","19","Putting drainage line","989000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","1","Miscellaneous development work","100000","Development work","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","2","Miscellaneous development work","160200","Development work","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","3","Miscellaneous development work","503000","Development work","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","4","Miscellaneous development work","160200","Development work","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","5","Concretization","250200","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","6","Concretization","503000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","7","Concretization","503000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","8","Concretization","503000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","9","Concretization","503000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","10","Concretization","503000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","11","Concretization","976000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","12","Concretization","984000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","13","Concretization","984000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","14","Concretization","990000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","15","Concretization","993000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","16","Putting drainage line","993000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16B","18-19","17","Putting drainage line","877000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","19-20","1","Concretization of road","197700","Concretization","","","","","","","","","","","","","","","","","","","",""
"16","19-20","2","Concretization of road","197700","Concretization","","","","","","","","","","","","","","","","","","","",""
"16","19-20","3","Concretization of road","197300","Concretization","","","","","","","","","","","","","","","","","","","",""
"16","19-20","4","Concretization of road","197600","Concretization","","","","","","","","","","","","","","","","","","","",""
"16","19-20","5","Making Footpath ","889000","Footpath","","","","","","","","","","","","","","","","","","","",""
"16","19-20","6","Making Footpath ","936000","Footpath","","","","","","","","","","","","","","","","","","","",""
"16","19-20","7","Concretization","100000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16","19-20","8","Concretization","988000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16","19-20","9","Concretization","513000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16","19-20","10","Concretization","988000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16","19-20","11","Direction boards ","853000","Nameplates","","","","","","","","","","","","","","","","","","","",""
"16","19-20","12","Temple related work","100000","Buildings","","","","","","","","","","","","","","","","","","","",""
"16","19-20","13","Building Wall","100000","Fencing","","","","","","","","","","","","","","","","","","","",""
"16","19-20","14","Putting drainage line","987000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","19-20","15","Putting drainage line","961000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","19-20","16","Putting drainage line","899000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","19-20","17","Putting drainage line","568000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","19-20","18","Putting drainage line and Miscellaneous Development Work","986000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","19-20","19","Gutter Cleaning","987000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16","19-20","20","Gutter Cleaning","977000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","1","Making Coal Tar road","874000","Road","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","2","Footpath repairing ","987000","Footpath","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","3","Pavement Blocks and Laying tiles","983000","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","4","Concretization","988000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","5","Concretization","988000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","6","Concretization","988000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","7","Concretization","988000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","8","Concretization","988000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","9","Concretization","988000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","10","Miscellaneous Development Work","608000","Development work","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","11","Miscellaneous Development Work","100000","Development work","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","12","Miscellaneous Development Work","867000","Development work","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","13","Miscellaneous Development Work","987000","Development work","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","14","Miscellaneous Development Work","935000","Development work","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","15","Building Wall","944000","Fencing","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","16","Concretization","519000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","17","Building toilets ","949000","Toilet","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","18","Putting drainage line","985000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16A","19-20","19","Putting Pavasali Line ","985000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","1","Concretization","149100","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","2","Concretization","996000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","3","Concretization","998000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","4","Concretization","996000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","5","Thermostatic road","994000","Road","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","6","Miscellaneous Development Work","997000","Development work","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","7","Miscellaneous Development Work","997000","Development work","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","8","Miscellaneous Development Work","996000","Development work","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","9","Miscellaneous Development Work","996000","Development work","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","10","Bench ","100000","Benches","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","11","Miscellaneous Development Work","996000","Development work","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","12","Miscellaneous Development Work","909000","Development work","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","13","Miscellaneous Development Work","876000","Development work","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","14","Miscellaneous Development Work","994000","Development work","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","15","Repairing Toilets","994000","Toilet","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","16","Repairing Toilets","513000","Toilet","","","","","","","","","","","","","","","","","","","",""
"16B","19-20","17","Putting drainage line","997000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","1","Making coal tar roads ","100000","Road","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","2","Making Footpath ","100000","Footpath","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","3","Repairing footpath,putting railings and bollards","448733.24","Footpath","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","4","Cleaning Radaroda","266378.45","Cleaning","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","5","Concretization","859158.06","Concretization","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","6","Concretization and putting bollard.","693462.78","Concretization","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","7","Name boards","494445.01","Nameplates","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","8","Repairing school watchmen quater ","468713.24","Buildings","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","9","Miscellaneous Development Work","844237.99","Development work","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","10","Miscellaneous Development Work","100000","Development work","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","11","Building Samaj hall","632712.15","Buildings","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","12","Miscellaneous Development Work","650433.65","Development work","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","13","Samaj Mandir furniture","445521.8","Furniture","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","14","Hall rennovation","422450.36","Buildings","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","15","Miscellaneous Development Work","497441.39","Development work","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","16","Building Toilets ","989395.64","Toilet","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","17","Building Toilets ","161698.37","Toilet","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","18","Building Toilet doors","269447.59","Toilet","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","19","Replacement of utensils and taps in toilets","445119.1","Toilet","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","20","Repairing Toilets","492981.38","Toilet","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","21","Repairing Toilets","897056.85","Toilet","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","22","Putting drainage line","183442.35","Drainage","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","23","Repairing Chembers","259628.27","Drainage","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","24","Changing chember lids","197861","Drainage","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","25","Putting drainage line","803778.92","Drainage","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","26","Putting drainage line","843455.91","Drainage","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","27","Removal of sludge from chember","266265.54","Drainage","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","28","Removal of sludge from manholes","421121.86","Drainage","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","29","Puttting slabs","986480.29","Drainage","","","","","","","","","","","","","","","","","","","",""
"16C","19-20","30","Puttting slabs","985302.48","Drainage","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","1","Concretization","997726","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","2","Concretization","996471.66","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","3","Making Footpath ","877390.72","Footpath","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","4","Making Footpath ","995381.69","Footpath","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","5","Making Footpath ","997519.06","Footpath","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","6","Cleaning Radaroda","897496.91","Cleaning","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","7","Cleaning Radaroda","972627.59","Cleaning","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","8","Laying tiles","807417.57","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","9","Miscellaneous Development Work","986209.91","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","10","Miscellaneous Development Work","985620.49","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","11","Maintenance and repairing work","975778.49","Maintenance","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","12","Miscellaneous Development Work","853754.49","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","13","Miscellaneous Development Work","882859.49","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","14","Removal of flood soil","100000","Waste disposal","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","15","Furniture related work","939887.96","Furniture","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","16","Miscellaneous Development Work","987170.51","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","17","Furniture related work","896282.14","Furniture","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","18","Replacing pipes","807694.29","Water supply","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","19","Trees related work","878796.45","Trees","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","20","Completing the yoga hall and related work","100000","Buildings","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","21","Building wall ","960493.89","Fencing","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","22","Building wall at kamla Nehru Hospital","100000","Fencing","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","23","Miscellaneous Development Work","985887.24","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","24","Cleaning gutter","891668.63","Cleaning","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","25","Cleaning gutter","891668.36","Cleaning","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","26","Pavasali line ","971273.36","Drainage","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","27","Putting drainage line and Concretization","945243.75","Drainage","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","28","Thermoplastic paint","568330.78","Colouring","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","29","Decoration","100000","Decoration","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","30","Decoration","100000","Decoration","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","31","Repairing Toilets","8,10,826.95","Toilet","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","32","Repairing Toilets","935929.81","Toilet","","","","","","","","","","","","","","","","","","","",""
"16D","19-20","33","Repairing Toilets","898992.62","Toilet","","","","","","","","","","","","","","","","","","","",""
"16A","20-21","1","Building library and miscellaneous development work","673000","Library","","","","","","","","","","","","","","","","","","","",""
"16A","20-21","2","Toilet maintenance","791000","Toilet","","","","","","","","","","","","","","","","","","","",""
"16A","20-21","3","Putting drainage line","897000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16A","20-21","4","Coal tar roads","100000","Road","","","","","","","","","","","","","","","","","","","",""
"16A","20-21","5","Concretization of road","100000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","20-21","6","Concretization of road","100000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16A","20-21","7","Making Footpath ","376000","Footpath","","","","","","","","","","","","","","","","","","","",""
"16B","20-21","1","Concretization","170950","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","20-21","2","Miscellaneous Development Work","800980","Development work","","","","","","","","","","","","","","","","","","","",""
"16B","20-21","3","Concretization","170970","Concretization","","","","","","","","","","","","","","","","","","","",""
"16B","20-21","4","Repairing toilets","100960","Toilet","","","","","","","","","","","","","","","","","","","",""
"16C","20-21","1","Miscellaneous Development Work","245502.71","Development work","","","","","","","","","","","","","","","","","","","",""
"16C","20-21","2","Miscellaneous Development Work","279632.79","Development work","","","","","","","","","","","","","","","","","","","",""
"16C","20-21","3","Miscellaneous Development Work","166861.37","Development work","","","","","","","","","","","","","","","","","","","",""
"16C","20-21","4","Concretization","457090.03","Concretization","","","","","","","","","","","","","","","","","","","",""
"16C","20-21","5","Changing slabs","106001.47","Drainage","","","","","","","","","","","","","","","","","","","",""
"16C","20-21","6","Pavasali gutter","421294.39","Drainage","","","","","","","","","","","","","","","","","","","",""
"16C","20-21","7","Concretization","1324830.69","Concretization","","","","","","","","","","","","","","","","","","","",""
"16C","20-21","8","Building library","323754.65","Library","","","","","","","","","","","","","","","","","","","",""
"16C","20-21","9","Putting drainage line","1600000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","1","Miscellaneous Development Work","1000000","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","2","Concretization","470000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","3","Concretization","776828.21","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","4","Concretization","796570.79","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","5","Putting drainage line","882376.76","Drainage","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","6","Drainage related work","1000000","Drainage","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","7","Providing toys","1000000","Help / Fund / Relief Work","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","8","Distributing small and bug buckets","1000000","Dustbin/Buckets","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","9","Building bus stop","899000","BusStop","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","10","Miscellaneous Development Work","712268","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","11","Miscellaneous Development Work","788580","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","12","Miscellaneous Development Work","1000000","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","13","Miscellaneous Development Work","1000000","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","14","Miscellaneous Development Work","1000000","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","15","Miscellaneous Development Work","1000000","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","16","Miscellaneous Development Work","1000000","Development work","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","17","Making Footpath ","834678.39","Footpath","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","18","Concretization","1000000","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","19","Concretization","890355.58","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","20","Concretization","877050.78","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","21","Concretization","882825","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","22","Concretization","888152.2","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","23","Concretization","873463.28","Concretization","","","","","","","","","","","","","","","","","","","",""
"16D","20-21","24","Concretization","1000000","Concretization","","","","","","","","","","","","","","","","","","","",""
