"KASBA - VISHRAMBAUG WADA","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","20","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"15B","17-18","45","Concretization in Mandayi Police chowki","948000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","46","Concretization in Bharat Scout guide area","847000","Concretization","Open","Vargikaran in progress","","","","","","","","","","","","","","","","","",""
"15B","17-18","47","Concretization in Hatti Ganpati area","957000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","48","Footpath repairing in Sadashiv Peth","849000","Footpath","Open","Vargikaran","","","","","","","","","","","","","","","","","",""
"15B","17-18","49","Footpath repairing in Shaniwar Peth","849000","Footpath","Open","Vargikaran","","","","","","","","","","","","","","","","","",""
"15B","17-18","50","Footpath Repair","909000","Footpath","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","51","Concretization","945000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","52","Thermoplastic paint stripes and traffic related works","744000","Traffic","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","53","Monsoon line repairs and installation","939000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","54","Monsoon line repairs and installation","969000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","55","Monsoon line repairs and installation","786000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","56","Monsoon line repairs and installation","966000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","57","Monsoon line repairs and installation","950000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","58","Monsoon line repairs and installation","915000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","59","Toilet relocation","818000","Toilet","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","60","Drainage line installation","949000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","61","Drainage line installation","959000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","62","Drainage line installation","861000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","63","Drainage line installation","949000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","64","Drainage line installation","871000","Drainage","","","","","","","","","","","","","","","","","","","",""
