"DHANKAWADI - SAHAKAR NAGAR","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","10","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"35D","21-22","40","Electrification work","10,000,00","Electrification","No Issue","","","","","","","","","","","","","","","","","","",""
"35D","21-22","41","Concretization Part 2","20,000,00","Concretization","Open","Tender number missing, other columns mention 'locking to the old work'","","","","","","","","","","","","","","","","","",""
"35A","21-22","42","Foothpath in Sahakarnagar 2 and other locations","900000","Footpath","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","43","UTW concretization in Annabhau Sathe vasahat etc","900000","Concretization","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","44","Drainage work in Panchavati society and other locations","900000","Drainage","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","45","Drainage line in Shivdarshan area","900000","Drainage","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","46","Drainage line in Sambhajinagar area","900000","Drainage","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","47","Road development on Taljai pathar and other locations","18,000,00","Road","Open","Tender number is missing","","","","","","","","","","","","","","","","","",""
"35A","21-22","48","Drainage work (मलनिस्सारणविषयक कामे)","18,000,00","Drainage","Open","Tender number is missing","","","","","","","","","","","","","","","","","",""
"35A","21-22","49","Bigger drainage line","18,000,00","Drainage","Open","Tender number is missing","","","","","","","","","","","","","","","","","",""
"35B","21-22","50","Tiles","900000","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","","",""
"35B","21-22","51","Tiles","900000","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","","",""
"35B","21-22","52","Foothpath","900000","Footpath","No Issue","","","","","","","","","","","","","","","","","","",""
"35B","21-22","53","Road","900000","Road","No Issue","","","","","","","","","","","","","","","","","","",""
"35B","21-22","54","Development work","900000","Development work","No Issue","","","","","","","","","","","","","","","","","","",""
"35B","21-22","55","Steps construction","900000","Development work","No Issue","","","","","","","","","","","","","","","","","","",""
"35B","21-22","56","Development work","900000","Development work","No Issue","","","","","","","","","","","","","","","","","","",""
"35B","21-22","57","Drainage line","900000","Drainage","No Issue","","","","","","","","","","","","","","","","","","",""
"35B","21-22","58","Toilet repairs","900000","Toilet","No Issue","","","","","","","","","","","","","","","","","","",""
"35B","21-22","59","Toilet repairs","900000","Toilet","No Issue","","","","","","","","","","","","","","","","","","",""
"35B","21-22","60","Street light","900000","Electrification","No Issue","","","","","","","","","","","","","","","","","","",""
