"GHOLE ROAD - SHIVAJI NAGAR","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","273","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"7D","17-18","45","repair the toilet","597000","Toilet","","","","","","","","","","","","","","","","","","","",""
"7D","17-18","46","repair the toilet","635000","Toilet","","","","","","","","","","","","","","","","","","","",""
"7D","17-18","47","drainage line","738000","Drainage","","","","","","","","","","","","","","","","","","","",""
"7D","17-18","48","drainage line","764000","Drainage","","","","","","","","","","","","","","","","","","","",""
"7D","17-18","49","drainage line","760000","Drainage","","","","","","","","","","","","","","","","","","","",""
"7D","17-18","50","drainage line","738000","Drainage","","","","","","","","","","","","","","","","","","","",""
"7D","17-18","51","drainage line","221000","Drainage","","","","","","","","","","","","","","","","","","","",""
"7D","17-18","52","drainage line","641000","Drainage","","","","","","","","","","","","","","","","","","","",""
"7D","17-18","53","made the wall","705000","Buildings","","","","","","","","","","","","","","","","","","","",""
"7","17-18","54","set the iron stand","313000","Benches","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","55","toilet for blind person","188000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","56","colouring the wall","384000","Colouring","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","57","nameplate","324000","Nameplates","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","58","development work","350000","Development work","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","59","drainage line","186000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","60","development work","378000","Development work","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","61","set the wall stand","270000","Development work","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","62","painting the wall","335000","Colouring","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","63","repair the toilet","250000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","64","set the wall stand","159000","Development work","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","65","development work","313000","Development work","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","66","drainage line","156000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","67","build the social temple","256000","Buildings","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
