"41A","17-18","54","Drainage lines installation","638891.61","Drainage","","","","","","","","","","","","","","","","","","","",""
"41A","17-18","55","Drainage lines installation","598584.75","Drainage","","","","","","","","","","","","","","","","","","","",""
"41A","17-18","56","Drainage lines installation","623235.99","Drainage","","","","","","","","","","","","","","","","","","","",""
"41A","17-18","57","Drainage lines installation","785436.12","Drainage","","","","","","","","","","","","","","","","","","","",""
"41A","17-18","58","Drainage lines installation","844266.54","Drainage","","","","","","","","","","","","","","","","","","","",""
"38A","18-19","1","Drainage lines installation","984000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38A","18-19","2","Sludge (Gaal) Cleaning","736000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38A","18-19","3","Drainage lines development","963000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38A","18-19","4","Drainage lines installation","865000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38A","18-19","5","Drainage related works","977000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","6","Drainage lines installation and concrete laying","716000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","7","Drainage lines installation and concrete laying","957000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","8","Drainage lines installation and concrete laying","975000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","9","Drainage lines installation and concrete laying","973000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","10","Drainage lines installation and concrete laying","600000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","11","Drainage lines installation and concrete laying","985000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","12","Drainage lines installation and concrete laying","717000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","13","Drainage lines installation and concrete laying","968000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","14","Drainage lines installation and concrete laying","581000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","15","Drainage lines installation and concrete laying","873000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","16","Drainage lines installation and concrete laying","893000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","17","Drainage lines installation - big diameter","591000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","18","Drainage lines installation","978000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","19","Drainage lines installation","971000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","20","Drainage lines installation","977000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","21","Drainage lines installation","888000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","22","Drainage lines installation","934000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","23","Drainage lines installation","988000","Drainage","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","24","Drainage related works","861036.46","Drainage","","","","","","","","","","","","","","","","","","","",""
"38D","18-19","25","Drainage lines installation","975875.57","Drainage","","","","","","","","","","","","","","","","","","","",""
"38D","18-19","26","Drainage lines installation","974426.3","Drainage","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","27","Border Walls work completion","890487.5","Fencing","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","28","Seating arrangement","1000000","Benches","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","29","Benches in school","1000000","Buildings","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","30","Jogging Track","1000000","Garden","","","","","","","","","","","","","","","","","","","",""
"38A","18-19","31","Concretization","154122.33","Concretization","","","","","","","","","","","","","","","","","","","",""
"38A","18-19","32","Monsoon Gutter","970360.23","Drainage","","","","","","","","","","","","","","","","","","","",""
