"AUNDH - BANER","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"9A","17-18","61","Work related to government school","391615.75","Buildings","","","","","","","","","","","","","","","","","","","",""
"9A","17-18","62","Road grouting and making coal tar roads ","497145.24","Road","","","","","","","","","","","","","","","","","","","",""
"9A","17-18","63","Making waste disposal facility","981610.04","Waste disposal","","","","","","","","","","","","","","","","","","","",""
"9A","17-18","64","Putting drainage line","290103.74","Drainage","","","","","","","","","","","","","","","","","","","",""
"9A","17-18","65","Putting drainage line","679994.01","Drainage","","","","","","","","","","","","","","","","","","","",""
"9A","17-18","66","Cleaning and repairing drainage line","574627.29","Drainage","","","","","","","","","","","","","","","","","","","",""
"9A","17-18","67","Electrification ","769123.71","Electrification","","","","","","","","","","","","","","","","","","","",""
"9A","17-18","68","Electrification ","1000000","Electrification","","","","","","","","","","","","","","","","","","","",""
"9A","17-18","69","Electrification ","749950.5","Electrification","","","","","","","","","","","","","","","","","","","",""
"9A","17-18","70","Electrification ","879056.74","Electrification","","","","","","","","","","","","","","","","","","","",""
"9A","17-18","71","Electrification ","755064.83","Electrification","","","","","","","","","","","","","","","","","","","",""
"9B","17-18","72","Making coal tar roads ","743882.99","Road","","","","","","","","","","","","","","","","","","","",""
"9B","17-18","73","Road grouting  ","342812.09","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9B","17-18","74","Putting drainage line","696158.53","Drainage","","","","","","","","","","","","","","","","","","","",""
"9B","17-18","75","Making coal tar roads ","818172.9","Road","","","","","","","","","","","","","","","","","","","",""
"9B","17-18","76","Making coal tar roads ","729198.69","Road","","","","","","","","","","","","","","","","","","","",""
"9B","17-18","77","Electrification ","768806.68","Electrification","","","","","","","","","","","","","","","","","","","",""
"9B","17-18","78","Electrification ","979833.41","Electrification","","","","","","","","","","","","","","","","","","","",""
"9C","17-18","79","Electrification ","734904.4","Electrification","","","","","","","","","","","","","","","","","","","",""
"9D","17-18","80","Constructing Samaj Mandir ","407225.95","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","18-19","1","Making coal tar roads ","866212.21","Road","","","","","","","","","","","","","","","","","","","",""
"8A","18-19","2","Trimix concretization of roads ","716530.44","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","18-19","3","Concretization of roads ","865304.54","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","18-19","4","Concretization of roads ","865682.73","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","18-19","5","Trimix concretization of roads ","831941.15","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","18-19","6","Concretization of roads ","731695.05","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","18-19","7","Work related to footpath","786826.98","Footpath","","","","","","","","","","","","","","","","","","","",""
"8A","18-19","8","Cleaning and repairing drainage line","507423.46","Drainage","","","","","","","","","","","","","","","","","","","",""
