"AUNDH - BANER","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"8A","20-21","11","Work related to Muslim cemetery ","770511.2","Cemetory / Crematorium","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","12","Furniture work ","915971.73","Furniture","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","13","Building a wall around the stadium","146392","Fencing","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","14","Repair work in Rajendra Prasad School","975479.24","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","15","Work related to Rajendra Prasad School","986773.67","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","16","Repair work in Samaj Mandir","913806","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","17","Building a wall around a cemetery","375609","Fencing","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","18","Putting drainage line","836381","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","19","Repairing & concretization of chamber ","138135.64","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","20","Concretization & putting drainage line","922343.52","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","21","Concretization of roads & putting drainage line","742377.68","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","22","Concretization & putting drainage line","834479.74","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","23","Changing drainage line","973335.62","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","24","Concretization & putting drainage line","680538","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","25","Concretization of roads & putting drainage line","981792.56","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","26","Concretization & putting drainage line","899911","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","27","Concretization & putting drainage line","896333.3","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","28","Concretization & putting drainage line","841059","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","29","Concretization & putting drainage line","973891.83","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","30","Work related to electrification","779414.05","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","31","Electrification","635389.47","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","32","Work related to electrification","571198.45","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","33","Putting underground cables","561855.98","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","34","Putting decorative light poles","872464.15","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","35","Electrification","639691.58","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","36","Work related to electrification","485155.02","Electrification","","","","","","","","","","","","","","","","","","","",""
"8B","20-21","37","Work related to roads","762935.49","Road","","","","","","","","","","","","","","","","","","","",""
"8B","20-21","38","Repair work","276676.44","Development work","","","","","","","","","","","","","","","","","","","",""
"8B","20-21","39","Development work","639607.08","Development work","","","","","","","","","","","","","","","","","","","",""
"8B","20-21","40","Work related to toilets","161400","Toilet","","","","","","","","","","","","","","","","","","","",""
"8C","20-21","41","Making coal tar roads ","683209.93","Road","","","","","","","","","","","","","","","","","","","",""
"8C","20-21","42","Trimix concretization ","611317.28","Concretization","","","","","","","","","","","","","","","","","","","",""
"8C","20-21","43","Concretization ","499976.78","Concretization","","","","","","","","","","","","","","","","","","","",""
"8C","20-21","44","Concretization ","458096.03","Concretization","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","45","Work related to Muslim cemetery ","564483.07","Cemetory / Crematorium","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","46","Development work","897271.5","Development work","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","47","Development work","883371.98","Development work","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","48","Development work","937087.23","Development work","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","49","Development work","784108.32","Development work","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","50","Development work","941500.85","Development work","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","51","Putting drainage line","980251.18","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","52","Putting drainage line","922752.02","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","53","Putting drainage line","770202.91","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","54","Putting drainage line","970828","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","55","Putting drainage line","852078.99","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","56","Putting drainage line","628942.48","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","57","Putting drainage line","760206.12","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","58","Putting drainage line","967611","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","59","Putting drainage line","822321.86","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","60","Putting drainage line","961911","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","61","Putting drainage line","965171","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","62","Putting drainage line","986947.93","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","63","Putting drainage line","531590","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","64","Putting drainage line","893177.81","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","65","Putting drainage line","978379.69","Drainage","Open","Work is in progress, should it be recorded?","","","","","","","","","","","","","","","","","",""
"8D","20-21","66","Putting drainage line","980923.54","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","67","Work related to electrification","331509","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","68","Work related to electrification","257060.14","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","69","Work related to electrification","480126","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","70","Work related to electrification","493470.96","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","20-21","71","Installing CCTV cameras","898603.87","Electrification","","","","","","","","","","","","","","","","","","","",""
"9A","20-21","72","Making coal tar roads ","583510.29","Road","","","","","","","","","","","","","","","","","","","",""
"9A","20-21","73","Making coal tar roads ","687310.34","Road","","","","","","","","","","","","","","","","","","","",""
"9A","20-21","74","Putting pavement blocks ","690851.27","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9A","20-21","75","Putting pavement blocks ","682672.1","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9A","20-21","76","Concretization","690155.69","Concretization","","","","","","","","","","","","","","","","","","","",""
"9A","20-21","77","Work related to cemetery ","65911","Cemetory / Crematorium","","","","","","","","","","","","","","","","","","","",""
"9A","20-21","78","Putting drainage line","640522.41","Drainage","","","","","","","","","","","","","","","","","","","",""
"9A","20-21","79","Putting drainage line","607089.82","Drainage","","","","","","","","","","","","","","","","","","","",""
"9A","20-21","80","Putting drainage line","850623.76","Drainage","","","","","","","","","","","","","","","","","","","",""
"9A","20-21","81","Work related to electrification","568730.37","Electrification","","","","","","","","","","","","","","","","","","","",""
"9B","20-21","82","Making coal tar roads ","684287.77","Road","","","","","","","","","","","","","","","","","","","",""
"9B","20-21","83","Making coal tar roads ","684013.08","Road","","","","","","","","","","","","","","","","","","","",""
"9B","20-21","84","Concretization of roads","787276.9","Concretization","","","","","","","","","","","","","","","","","","","",""
"9B","20-21","85","Making coal tar roads ","675374.89","Road","","","","","","","","","","","","","","","","","","","",""
"9B","20-21","86","Making coal tar roads and road grouting","683573.7","Road","","","","","","","","","","","","","","","","","","","",""
"9B","20-21","87","Putting drainage line","508241.92","Drainage","","","","","","","","","","","","","","","","","","","",""
"9B","20-21","88","Shifting MSEB D.P. and putting underground cables ","635499.93","Electrification","","","","","","","","","","","","","","","","","","","",""
"9C","20-21","89","Making coal tar roads ","707165.37","Road","","","","","","","","","","","","","","","","","","","",""
"9D","20-21","90","Putting pavement blocks ","644179.68","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9D","20-21","91","Putting pavement blocks ","687989.82","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","1","Road","697065.3","Road","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","2","Footpath","479968.52","Footpath","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","3","Road","697059.01","Road","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","4","Concretization ","268528.83","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","5","Road","401779.35","Road","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","6","Cemetery work","791668.07","Cemetory / Crematorium","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","7","Building","985360.88","Gym","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","8","Building","540255.59","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","9","Fencing ","697734.32","Fencing","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","10","Building","598169.93","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","11","Building","572944.52","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","12","Work related to school","887512.34","Buildings","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","13","Concretization ","647672.97","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","14","Concretization ","852790.27","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","15","Concretization ","773615.99","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","16","Concretization & putting defense line","502868.05","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","17","Concretization & putting drainage line","645509.89","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","18","Building toilets","887951.56","Toilet","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","19","Concretization ","442200.67","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","20","Concretization of drainage line","1572335.51","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","21","Cleaning & putting drainage line ","","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","22","Concretization & putting drainage line","899327.77","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","23","Concretization & putting drainage line","541847.51","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","24","Concretization & putting drainage line","602967.37","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","25","Concretization & putting drainage line","527931.82","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","26","Concretization & putting drainage line","545688.53","Drainage","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","27","Work related to electrification","830465.97","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","28","Putting & activating CCTV camera","698370.02","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","21-22","29","Work related to electrification","8899819.86","Electrification","","","","","","","","","","","","","","","","","","","",""
"8B","21-22","30","concretization","986346.21","Road","","","","","","","","","","","","","","","","","","","",""
"8B","21-22","31","Development work","254939.68","Buildings","","","","","","","","","","","","","","","","","","","",""
"8B","21-22","32","Installing CCTV cameras","889819.86","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","33","Cleaning ","737723.28","Cleaning","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","34","Concretization","899990.26","Concretization","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","35","Concretization","844694.56","Concretization","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","36","Concretization","844570.84","Concretization","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","37","Concretization","899999.13","Concretization","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","38","Concretization","844597.84","Concretization","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","39","Road","787374.56","Road","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","40","Pavement blocks ","668294.55","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","41","Concretization","383850.05","Concretization","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","42","Road","602747.11","Traffic","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","43","Decorating road divider","514915.86","Decoration","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","44","Development work ","809067.52","Development work","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","45","Development work ","368288.87","Development work","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","46","Making sabha mandap","891097.12","Buildings","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","47","Work on visarjan ghat ","898213.68","Ganeshotsav","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","48","Development work ","449999.99","Development work","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","49","Development work ","324057.23","Development work","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","50","Completing jogging track construction","387486.54","Garden","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","51","Wall painting with quotes","887716.62","Decoration","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","52","Putting drainage line","769673.97","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","53","Putting drainage line","769873.71","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","54","Putting drainage line","769845.48","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","55","Putting drainage line","760017.83","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","56","Putting drainage line","597404.41","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","57","Putting drainage line","899631.41","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","58","Putting drainage line","898446.87","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","59","Work related to electrification","873244.96","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","60","Instaling light poles","870513.26","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","61","Work related to electrification","615075.95","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","62","Work related to electrification","615354.85","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","63","Installing CCTV cameras","899919.92","Electrification","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","64","Road","797984.44","Road","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","65","Pavement blocks ","694690.84","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","66","Roads","728724.69","Road","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","67","Footpaths","715978.49","Footpath","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","68","Pavement blocks ","682183.2","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","69","Roads","713001.26","Road","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","70","Direction boards","762070.48","Nameplates","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","71","Building playgrounds","822117.95","Garden","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","72","Place making","921806.85","Cemetory / Crematorium","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","73","Building playground","806525.55","Garden","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","74","Making & repairing drainage boundary","767285.08","Drainage","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","75","Putting drainage line","724860.81","Drainage","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","76","Putting light poles","760227.66","Electrification","","","","","","","","","","","","","","","","","","","",""
"9B","21-22","77","Road","789181.99","Road","","","","","","","","","","","","","","","","","","","",""
"9B","21-22","78","Road","710325.72","Road","","","","","","","","","","","","","","","","","","","",""
"9B","21-22","79","Road","809297.06","Road","","","","","","","","","","","","","","","","","","","",""
"9B","21-22","80","Road","799146.61","Road","","","","","","","","","","","","","","","","","","","",""
"9B","21-22","81","Road","680432.43","Road","","","","","","","","","","","","","","","","","","","",""
"9B","21-22","82","Road","707640.39","Road","","","","","","","","","","","","","","","","","","","",""
"9B","21-22","83","Pavement blocks ","436562.71","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","84","Road","665684.28","Road","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","85","Footpaths","673287.88","Footpath","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","86","Pavement blocks ","657739.62","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","87","Road","650003.64","Road","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","88","Concretization","591370.43","Concretization","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","89","Grouting","622035.94","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","90","Putting drainage line","596434.32","Drainage","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","91","Repair work related to drainage","239107.21","Drainage","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","92","Electrification","988118.88","Electrification","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","93","Work related to electrification","988438.66","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","94","Putting drainage line","597404.41","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","95","Putting drainage line","899631.41","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","96","Putting drainage line","898446.87","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","97","Work related to electrification","873244.96","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","98","Instaling light poles","870513.26","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","99","Work related to electrification","615075.95","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","100","Work related to electrification","615354.85","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","21-22","101","Installing CCTV cameras","899919.92","Electrification","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","102","Making coal tar roads ","797984.44","Road","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","103","Putting pavement blocks ","694690.84","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","104","Making coal tar roads","728724.69","Road","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","105","Making footpaths","715978.49","Footpath","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","106","Putting pavement blocks ","682183.2","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","107","Making coal tar roads","713001.26","Road","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","108","Putting direction boards","762070.48","Nameplates","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","109","Building playgrounds","822117.95","Garden","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","110","Place making","921806.85","Cemetory / Crematorium","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","111","Building playground","806525.55","Garden","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","112","Making & repairing drainage boundary","767285.08","Drainage","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","113","Putting drainage line","724860.81","Drainage","","","","","","","","","","","","","","","","","","","",""
"9A","21-22","114","Putting light poles","760227.66","Electrification","","","","","","","","","","","","","","","","","","","",""
"9B","21-22","115","Making coal tar roads","789181.99","Road","","","","","","","","","","","","","","","","","","","",""
"9B","21-22","116","Making coal tar roads","710325.72","Road","","","","","","","","","","","","","","","","","","","",""
"9B","21-22","117","Making coal tar roads","809297.06","Road","","","","","","","","","","","","","","","","","","","",""
"9B","21-22","118","Making coal tar roads","799146.61","Road","","","","","","","","","","","","","","","","","","","",""
"9B","21-22","119","Making coal tar roads","680432.43","Road","","","","","","","","","","","","","","","","","","","",""
"9B","21-22","120","Making coal tar roads","707640.39","Road","","","","","","","","","","","","","","","","","","","",""
"9B","21-22","121","Putting pavement blocks ","436562.71","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","122","Repairing roads","665684.28","Road","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","123","Repairing footpaths","673287.88","Footpath","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","124","Putting blocks ","657739.62","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","125","Coal tar work","650003.64","Road","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","126","Concretization","591370.43","Concretization","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","127","Grouting","622035.94","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","128","Putting drainage line","596434.32","Drainage","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","129","Repair work related to drainage","239107.21","Drainage","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","130","Electrification","988118.88","Electrification","","","","","","","","","","","","","","","","","","","",""
"9D","21-22","131","Work related to electrification","988438.66","Electrification","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
